CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj,,,
2.02003E+13,MDG-b_18_n500_m50,7,500.159s,500,50,1583980419,1500,10,53,1105.15,,,
2.02003E+13,MDG-b_18_n500_m50,8,506.241s,500,50,1583953153,1500,10,56,1089.51,,,
2.02003E+13,MDG-b_18_n500_m50,9,506.299s,500,50,1583959495,1500,10,58,1033.65,,,
2.02003E+13,MDG-b_19_n500_m50,0,506.658s,500,50,1583981004,1500,10,56,1079.13,,,
2.02003E+13,MDG-b_19_n500_m50,1,502.484s,500,50,1583980258,1500,10,54,983.3,,,
2.02003E+13,MDG-b_19_n500_m50,2,504.989s,500,50,1583969442,1500,10,56,1109.15,,,
2.02003E+13,MDG-b_19_n500_m50,3,508.422s,500,50,1583969322,1500,10,57,1110.72,,,
2.02003E+13,MDG-b_19_n500_m50,4,503.701s,500,50,1583968220,1500,10,57,1158.34,,,
2.02003E+13,MDG-b_19_n500_m50,5,507.145s,500,50,1583965160,1500,10,54,1111.64,,,
2.02003E+13,MDG-b_19_n500_m50,6,505.837s,500,50,1583973294,1500,10,54,1088.2,,,
2.02003E+13,MDG-b_19_n500_m50,7,508.341s,500,50,1583966028,1500,10,56,1061.35,,,
2.02003E+13,MDG-b_19_n500_m50,8,505.702s,500,50,1583956945,1500,10,51,1093.62,,,
2.02003E+13,MDG-b_19_n500_m50,9,506.451s,500,50,1583966223,1500,10,52,1109.18,,,
2.02003E+13,MDG-b_20_n500_m50,0,506.988s,500,50,1583956795,1500,10,54,1099.49,,,
2.02003E+13,MDG-b_20_n500_m50,1,501.597s,500,50,1583971084,1500,10,54,1128.05,,,
2.02003E+13,MDG-b_20_n500_m50,2,503.164s,500,50,1583970297,1500,10,57,1130.19,,,
2.02003E+13,MDG-b_20_n500_m50,3,504.193s,500,50,1583965685,1500,10,53,1124,,,
2.02003E+13,MDG-b_20_n500_m50,4,506.536s,500,50,1583981991,1500,10,55,1091.07,,,
2.02003E+13,MDG-b_20_n500_m50,5,503.398s,500,50,1583976792,1500,10,52,1167.1,,,
2.02003E+13,MDG-b_20_n500_m50,6,507.098s,500,50,1583978031,1500,10,56,1101.8,,,
2.02003E+13,MDG-b_20_n500_m50,7,509.759s,500,50,1583984099,1500,10,54,1069.53,,,
